joint1, -0,003455253
joint2, -1,615931
joint3, -1,532711
joint4, -0,6025578
joint5, 1,390389
joint6, -0,2956307
joint1, 0,4836221
joint2, -2,78226
joint3, 0,1177442
joint4, 0,9681652
joint5, -0,1800734
joint6, -0,2476015
joint1, 0,411214
joint2, -2,811553
joint3, 0,9089597
joint4, 1,329253
joint5, -0,4830369
joint6, 0,3495844
joint1, -0,03186845
joint2, -1,607406
joint3, -1,583979
joint4, -0,5542325
joint5, 1,414234
joint6, -0,2396313
joint1, -1,346762
joint2, -2,544756
joint3, -0,3764938
joint4, -0,6600164
joint5, 1,316293
joint6, 0,06096088
joint1, -0,002465198
joint2, -1,591002
joint3, -1,564297
joint4, -0,5707848
joint5, 1,413431
joint6, -0,2829127
joint1, 0,4943198
joint2, -2,778493
joint3, 0,0849778
joint4, 1,00445
joint5, -0,1686969
joint6, -0,2562317
joint1, -3,467386
joint2, -1,549462
joint3, 1,172616
joint4, 0,5586582
joint5, 1,713546
joint6, 1,565945
joint1, 0,512693
joint2, -2,635617
joint3, -0,1282492
joint4, 0,8288599
joint5, -0,3068581
joint6, -0,3953358
joint1, 0,002195105
joint2, -1,643889
joint3, -1,522913
joint4, -0,6192324
joint5, 1,37697
joint6, -0,3331366
joint1, -1,37464
joint2, -2,51959
joint3, -0,3888857
joint4, -0,6699309
joint5, 1,391135
joint6, 0,09894085
joint1, 0,02111598
joint2, -1,63011
joint3, -1,428099
joint4, -0,7952429
joint5, 1,323873
joint6, -0,5024875
joint1, -1,202316
joint2, -2,482342
joint3, -0,3442746
joint4, -0,7970502
joint5, 0,937207
joint6, 0,864594
joint1, -0,02090238
joint2, -1,588661
joint3, -1,573279
joint4, -0,5333182
joint5, 1,428192
joint6, -0,2197243
joint1, -1,232638
joint2, -2,574187
joint3, -0,1978995
joint4, -0,8752459
joint5, 1,072739
joint6, 0,2030883
joint1, -1,313401
joint2, -2,558635
joint3, -0,2770008
joint4, -0,7478938
joint5, 1,242968
joint6, 0,04749504
joint1, -1,23099
joint2, -2,500582
joint3, -0,3709439
joint4, -0,7685909
joint5, 1,045156
joint6, 0,794741
joint1, -1,249648
joint2, -2,549201
joint3, -0,2401354
joint4, -0,8486171
joint5, 1,096801
joint6, -0,5837671
joint1, 0,5078145
joint2, -2,654049
joint3, -0,1030414
joint4, 0,8163975
joint5, -0,3199612
joint6, -0,4245312
joint1, -1,329197
joint2, -2,549353
joint3, -0,2734759
joint4, -0,7858101
joint5, 1,233975
joint6, -0,4703195
joint1, 0,5038552
joint2, -2,682253
joint3, -0,07272395
joint4, 0,8012507
joint5, -0,2707571
joint6, -0,3000263
joint1, 0,6482044
joint2, -0,8660931
joint3, 0,6329712
joint4, -0,9887138
joint5, -0,1696633
joint6, -0,9101843
joint1, -1,258117
joint2, -2,544731
joint3, -0,1705988
joint4, -0,9305782
joint5, 1,120652
joint6, 0,8824884
joint1, 0,6587679
joint2, -0,8725539
joint3, 0,6851847
joint4, -1,146973
joint5, -0,1161029
joint6, -1,2096
joint1, 0,02316605
joint2, -1,613888
joint3, -1,508181
joint4, -0,6522847
joint5, 1,342313
joint6, -0,4639503
joint1, -1,278686
joint2, -2,529352
joint3, -0,3343067
joint4, -0,7235183
joint5, 1,104815
joint6, 0,7331175
joint1, -3,44997
joint2, -1,547415
joint3, 1,190911
joint4, 0,6067792
joint5, 1,763099
joint6, 1,532535
joint1, 0,6313726
joint2, -0,8529886
joint3, 0,7985007
joint4, -1,270438
joint5, -0,189532
joint6, -1,131172
joint1, -1,304207
joint2, -2,556311
joint3, -0,2360182
joint4, -0,8292883
joint5, 1,171945
joint6, -0,4969034
joint1, -1,405861
joint2, -2,523562
joint3, -0,2094387
joint4, -0,875313
joint5, 1,343988
joint6, 1,144651
joint1, -1,32137
joint2, -2,526623
joint3, -0,3353132
joint4, -0,7520444
joint5, 1,257284
joint6, 0,1880469
joint1, 0,5023044
joint2, -2,698722
joint3, -0,05752473
joint4, 0,8132252
joint5, -0,2494389
joint6, -0,3203425
joint1, 0,4812211
joint2, -2,777038
joint3, 0,075707
joint4, 1,035593
joint5, -0,1693093
joint6, -0,2604427
